uniq,SUBJID,1_17634547_17634563,1_9756480_9756511,10_110132304_110132401,10_7806973_7807011,10_84499874_84499960,10_95414493_95414863,11_57791384_57791674,12_121244572_121244616,14_103498501_103498529,17_17180606_17180670,19_10921374_10921444,19_7905807_7905856,2_46958494_46958553,22_29531077_29531111,7_134935687_134935766,9_128609650_128609666,9_2651414_2651499,X_31126641_31126674
GTEX-11EQ9-1626-SM-5PNY8,GTEX-11EQ9,0.8972972972972973,0.26495726495726496,0.41333333333333333,0.8595194085027726,0.05785123966942149,0.6097560975609756,0.4139194139194139,0.18811881188118812,0.3417085427135678,0.3893129770992366,0.03571428571428571,0.5041322314049587,0.09090909090909091,0.125,0.3180778032036613,0.18046132971506107,0.23076923076923078,0.29577464788732394
GTEX-11EQ9-1726-SM-5HL6U,GTEX-11EQ9,0.7281553398058253,0.6116504854368932,0.15463917525773196,0.4931506849315068,0.6470588235294118,0.941747572815534,0.8,0.7849462365591398,0.5884476534296029,0.9087837837837838,0.24210526315789474,0.7704918032786885,0.6,0.6774193548387096,0.9539763113367175,0.26973684210526316,0.41935483870967744,0.8472222222222222
GTEX-11EQ9-1826-SM-5Q5AJ,GTEX-11EQ9,0.6901408450704225,0.5862068965517241,0.033210332103321034,0.3256198347107438,0.4339622641509434,0.8275862068965517,0.8267716535433071,0.5588235294117647,0.7465753424657534,0.9039487726787621,0.14432989690721648,0.8461538461538461,0.6,0.5862068965517241,0.48639455782312924,0.3630952380952381,0.7923497267759563,0.5555555555555556
GTEX-11EQ9-1926-SM-5PNVV,GTEX-11EQ9,0.07692307692307693,0.12280701754385964,0.7180327868852459,0.8603773584905661,0.031315240083507306,0.3076923076923077,0.9899497487437185,0.15384615384615385,0.07692307692307693,0.10614525139664804,0.8100890207715133,0.07407407407407407,0.03296703296703297,0.019230769230769232,0.19753086419753085,0.4304635761589404,0.1111111111111111,0.16129032258064516
GTEX-11EQ9-2026-SM-5P9JI,GTEX-11EQ9,0.8608695652173913,0.1310344827586207,0.6363636363636364,0.7005714285714286,0.19540229885057472,0.5370370370370371,0.2219020172910663,0.152,0.163727959697733,0.4637223974763407,0.392,0.35766423357664234,0.18699186991869918,0.18811881188118812,0.4166666666666667,0.1678832116788321,0.02702702702702703,0.20689655172413793
GTEX-11EQ9-2126-SM-5PNVW,GTEX-11EQ9,0.9596774193548387,0.8333333333333334,0.02857142857142857,0.023066485753052916,0.9327731092436975,0.9636363636363636,0.9473684210526315,0.7777777777777778,0.896969696969697,0.9603469640644362,0.8082901554404145,0.9907407407407407,0.8461538461538461,0.9836065573770492,0.43103448275862066,0.6231884057971014,1.0,0.9812206572769953
GTEX-11EQ9-2226-SM-5987H,GTEX-11EQ9,0.7951959544879899,0.7735849056603774,0.0,0.43107769423558895,0.6330275229357798,0.9129113924050632,0.89,0.8926174496644296,0.8835616438356164,0.9810201660735468,0.07555555555555556,0.8918918918918919,0.7966101694915254,0.7687074829931972,0.8974261922785768,0.1864406779661017,0.4482758620689655,0.8260869565217391
GTEX-11EQ9-2326-SM-5HL5H,GTEX-11EQ9,0.494949494949495,0.7802197802197802,0.005698005698005698,0.42290076335877863,0.6893203883495146,0.6178660049627791,0.8706467661691543,0.2564102564102564,0.8188679245283019,0.5145813734713076,0.3939393939393939,0.6363636363636364,0.8360655737704918,0.5142857142857142,0.14161220043572983,0.8835164835164835,0.8823529411764706,0.9239130434782609
GTEX-11EQ9-2426-SM-5HL5T,GTEX-11EQ9,0.8916256157635468,0.13953488372093023,0.33766233766233766,0.8373015873015873,0.07142857142857142,0.6774193548387096,0.17791411042944785,0.20833333333333334,0.17886178861788618,0.24232081911262798,0.14666666666666667,0.25333333333333335,0.07142857142857142,0.13636363636363635,0.19008264462809918,0.25060827250608275,0.5,0.1836734693877551
GTEX-11EQ9-2526-SM-5HL66,GTEX-11EQ9,0.4658385093167702,0.5272727272727272,0.009900990099009901,0.44878048780487806,0.38028169014084506,0.9175257731958762,0.9130434782608695,0.4444444444444444,0.6901408450704225,0.8949096880131363,0.24855491329479767,0.7391304347826086,0.9148936170212766,0.6559139784946236,0.5225,0.35036496350364965,0.7681159420289855,0.6237623762376238
GTEX-11GSP-0006-SM-5N9EL,GTEX-11GSP,0.0,0.0,0.8873239436619719,0.9074074074074074,0.010752688172043012,1.0,1.0,0.0,0.00303951367781155,0.04918032786885246,0.5707762557077626,0.2765957446808511,0.14285714285714285,0.18032786885245902,0.0,0.3935483870967742,0.0,0.0
GTEX-11GSP-0008-SM-5Q5DM,GTEX-11GSP,0.7272727272727273,0.5633802816901409,0.0313588850174216,0.5894641235240691,0.391304347826087,0.7142857142857143,0.7183098591549296,0.4594594594594595,0.7241379310344828,0.9624060150375939,0.20595533498759305,0.8823529411764706,0.3288590604026846,0.4222222222222222,0.031852848811126065,0.015544041450777202,0.6551724137931034,0.2727272727272727
GTEX-11GSP-0011-R10a-SM-5NQ7J,GTEX-11GSP,0.17333333333333334,0.4409937888198758,0.13200723327305605,0.9425051334702259,0.75,0.17333333333333334,0.9629629629629629,0.8202247191011236,0.525,0.33111480865224624,0.92,0.10344827586206896,0.7391304347826086,0.0967741935483871,0.06,0.9764705882352941,0.2857142857142857,0.5454545454545454
GTEX-11GSP-0011-R11b-SM-5NQ7V,GTEX-11GSP,0.9653465346534653,0.13587786259541984,0.6936170212765957,0.9842209072978304,0.673469387755102,0.06493506493506493,1.0,0.988599348534202,0.05708245243128964,0.5176848874598071,0.9748427672955975,0.1111111111111111,0.9285714285714286,0.058823529411764705,0.08641975308641975,0.9960212201591512,0.1,0.6428571428571429
GTEX-11GSP-0011-R5a-SM-57WBE,GTEX-11GSP,0.2839506172839506,0.29850746268656714,0.13989637305699482,0.9653794940079894,0.6444444444444445,0.16666666666666666,0.9770114942528736,0.92,0.37142857142857144,0.2558983666061706,0.9354838709677419,0.02702702702702703,0.8666666666666667,0.21052631578947367,0.12195121951219512,0.9729064039408867,0.23076923076923078,0.6923076923076923
GTEX-11GSP-0011-R6b-SM-57WBQ,GTEX-11GSP,0.21100917431192662,0.40863787375415284,0.15647921760391198,0.9419822723609992,0.6857142857142857,0.11764705882352941,0.9375,0.5652173913043478,0.5192307692307693,0.3220338983050847,0.7903225806451613,0.10344827586206896,0.5714285714285714,0.21212121212121213,0.10077519379844961,0.969732246798603,0.4883720930232558,0.6086956521739131
